OID_,VALUE,COUNT,LEVEL1,LEVEL2,LEVEL3,RED,GREEN,BLUE,CN_LEVEL1,CN_LEVEL2,CN_LEVEL3
,1201,16707,1,12,1201,0.949019600000000,0.658823500000000,0.639215700000000,Human land use,Developed,"Developed, Open Space"
,1202,5405,1,12,1202,0.929411800000000,0.486274500000000,0.458823500000000,Human land use,Developed,"Developed, Low Intensity"
,1203,1539,1,12,1203,0.909803900000000,0.317647100000000,0.278431400000000,Human land use,Developed,"Developed, Medium Intensity"
,1204,148,1,12,1204,0.709803900000000,0.117647100000000,0.078431400000000,Human land use,Developed,"Developed, High Intensity"
,1301,107,1,13,1301,1.000000000000000,1.000000000000000,0.000000000000000,Human land use,Mining,"Quarries, Mines, Gravel Pits and Oil Wells"
,1402,8116,1,14,1402,1.000000000000000,0.980000000000000,0.800000000000000,Human land use,Agriculture,Cultivated Cropland
,1403,89658,1,14,1403,0.756862700000000,0.756862700000000,0.647058800000000,Human land use,Agriculture,Pasture/Hay
,2102,45293,2,21,2102,0.000000000000000,0.000000000000000,1.000000000000000,Aquatic,Open water,Open Water (Fresh)
,3121,86069,3,31,3121,0.904732300000000,0.900687500000000,0.735267700000000,Sparse and barren systems,"Beach, shore and sand",Inter-Mountain Basins Active and Stabilized Dune
,3202,1576,3,32,3202,0.253160300000000,0.266839700000000,0.266056600000000,Sparse and barren systems,"Cliff, canyon and talus","Rocky Mountain Cliff, Canyon and Massive Bedrock"
,3203,1989,3,32,3203,0.185001700000000,0.194998300000000,0.194426000000000,Sparse and barren systems,"Cliff, canyon and talus",Western Great Plains Cliff and Outcrop
,3216,29585,3,32,3216,0.238219400000000,0.266637100000000,0.213362900000000,Sparse and barren systems,"Cliff, canyon and talus",Inter-Mountain Basins Cliff and Canyon
,3301,11197,3,33,3301,0.866580100000000,0.873419900000000,0.873028300000000,Sparse and barren systems,Bluff and badland,Western Great Plains Badland
,3304,40723,3,33,3304,0.350529600000000,0.369470400000000,0.368386100000000,Sparse and barren systems,Bluff and badland,Inter-Mountain Basins Shale Badland
